version,ns1:timeZone,ns1:type,ns1:locationId,ns1:parameterId,ns1:ensembleId,ns1:ensembleMemberIndex,unit,multiplier,date,time,date2,time3,date4,time5,ns1:missVal,ns1:stationName,ns1:units,ns1:creationDate,ns1:creationTime,date6,time7,value,flag
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,2/27/2018,18:00:00,34653.375,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,2/28/2018,0:00:00,33165.523,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,2/28/2018,6:00:00,31305.488,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,2/28/2018,12:00:00,29334.23,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,2/28/2018,18:00:00,27131.709,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/1/2018,0:00:00,25066.29,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/1/2018,6:00:00,23329.191,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/1/2018,12:00:00,22021.219,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/1/2018,18:00:00,21088.43,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/2/2018,0:00:00,20872.102,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/2/2018,6:00:00,21893.777,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/2/2018,12:00:00,23555.443,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/2/2018,18:00:00,25226.814,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/3/2018,0:00:00,25909.736,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/3/2018,6:00:00,27406.248,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/3/2018,12:00:00,30281.154,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/3/2018,18:00:00,31865.877,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/4/2018,0:00:00,31736.887,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/4/2018,6:00:00,30007.803,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/4/2018,12:00:00,27946.756,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/4/2018,18:00:00,25640.28,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/5/2018,0:00:00,23536.238,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/5/2018,6:00:00,21637.584,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/5/2018,12:00:00,20155.111,0
1.5,0,instantaneous,PORM2TOT,SQIN,MEFP,1950,second,21600,2/27/2018,18:00:00,5/28/2018,12:00:00,2/27/2018,12:00:00,-999,Point Of Rocks,CFS,2/27/2018,17:30:04,3/5/2018,18:00:00,18869.445,0
